"Series";"Time";"Value"
"js3-node1";"2018-08-02T22:50:40-04:00";null
"js3-node1";"2018-08-02T22:51:00-04:00";null
"js3-node1";"2018-08-02T22:51:20-04:00";null
"js3-node1";"2018-08-02T22:51:40-04:00";0
"js3-node1";"2018-08-02T22:52:00-04:00";null
"js3-node1";"2018-08-02T22:52:20-04:00";null
"js3-node1";"2018-08-02T22:52:40-04:00";null
"js3-node1";"2018-08-02T22:53:00-04:00";null
"js3-node1";"2018-08-02T22:53:20-04:00";null
"js3-node1";"2018-08-02T22:53:40-04:00";null
"js3-node1";"2018-08-02T22:54:00-04:00";null
"js3-node1";"2018-08-02T22:54:20-04:00";null
"js3-node1";"2018-08-02T22:54:40-04:00";0
"js3-node1";"2018-08-02T22:55:00-04:00";null
"js3-node1";"2018-08-02T22:55:20-04:00";null
"js3-node1";"2018-08-02T22:55:40-04:00";null
"js3-node1";"2018-08-02T22:56:00-04:00";null
"js3-node1";"2018-08-02T22:56:20-04:00";null
"js3-node1";"2018-08-02T22:56:40-04:00";null
"js3-node1";"2018-08-02T22:57:00-04:00";null
"js3-node1";"2018-08-02T22:57:20-04:00";null
"js3-node1";"2018-08-02T22:57:40-04:00";0
"js3-node1";"2018-08-02T22:58:00-04:00";null
"js3-node1";"2018-08-02T22:58:20-04:00";null
"js3-node1";"2018-08-02T22:58:40-04:00";null
"js3-node1";"2018-08-02T22:59:00-04:00";null
"js3-node1";"2018-08-02T22:59:20-04:00";null
"js3-node1";"2018-08-02T22:59:40-04:00";null
"js3-node1";"2018-08-02T23:00:00-04:00";null
"js3-node1";"2018-08-02T23:00:20-04:00";null
"js3-node1";"2018-08-02T23:00:40-04:00";0
"js3-node1";"2018-08-02T23:01:00-04:00";null
"js3-node1";"2018-08-02T23:01:20-04:00";null
"js3-node1";"2018-08-02T23:01:40-04:00";null
"js3-node1";"2018-08-02T23:02:00-04:00";null
"js3-node1";"2018-08-02T23:02:20-04:00";null
"js3-node1";"2018-08-02T23:02:40-04:00";null
"js3-node1";"2018-08-02T23:03:00-04:00";null
"js3-node1";"2018-08-02T23:03:20-04:00";null
"js3-node1";"2018-08-02T23:03:40-04:00";0
"js3-node1";"2018-08-02T23:04:00-04:00";null
"js3-node1";"2018-08-02T23:04:20-04:00";null
"js3-node1";"2018-08-02T23:04:40-04:00";null
"js3-node1";"2018-08-02T23:05:00-04:00";null
"js3-node1";"2018-08-02T23:05:20-04:00";null
"js3-node1";"2018-08-02T23:05:40-04:00";null
"js3-node1";"2018-08-02T23:06:00-04:00";null
"js3-node1";"2018-08-02T23:06:20-04:00";null
"js3-node1";"2018-08-02T23:06:40-04:00";0
"js3-node1";"2018-08-02T23:07:00-04:00";null
"js3-node1";"2018-08-02T23:07:20-04:00";null
"js3-node1";"2018-08-02T23:07:40-04:00";null
"js3-node1";"2018-08-02T23:08:00-04:00";null
"js3-node1";"2018-08-02T23:08:20-04:00";null
"js3-node1";"2018-08-02T23:08:40-04:00";null
"js3-node1";"2018-08-02T23:09:00-04:00";null
"js3-node1";"2018-08-02T23:09:20-04:00";null
"js3-node1";"2018-08-02T23:09:40-04:00";0.01
"js3-node1";"2018-08-02T23:10:00-04:00";null
"js3-node1";"2018-08-02T23:10:20-04:00";null
"js3-node1";"2018-08-02T23:10:40-04:00";null
"js3-node1";"2018-08-02T23:11:00-04:00";null
"js3-node1";"2018-08-02T23:11:20-04:00";null
"js3-node1";"2018-08-02T23:11:40-04:00";null
"js3-node1";"2018-08-02T23:12:00-04:00";null
"js3-node1";"2018-08-02T23:12:20-04:00";null
"js3-node1";"2018-08-02T23:12:40-04:00";0
"js3-node1";"2018-08-02T23:13:00-04:00";null
"js3-node1";"2018-08-02T23:13:20-04:00";null
"js3-node1";"2018-08-02T23:13:40-04:00";null
"js3-node1";"2018-08-02T23:14:00-04:00";null
"js3-node1";"2018-08-02T23:14:20-04:00";null
"js3-node1";"2018-08-02T23:14:40-04:00";null
"js3-node1";"2018-08-02T23:15:00-04:00";null
"js3-node1";"2018-08-02T23:15:20-04:00";null
"js3-node1";"2018-08-02T23:15:40-04:00";0.01
"js3-node1";"2018-08-02T23:16:00-04:00";null
"js3-node1";"2018-08-02T23:16:20-04:00";null
"js3-node1";"2018-08-02T23:16:40-04:00";null
"js3-node1";"2018-08-02T23:17:00-04:00";null
"js3-node1";"2018-08-02T23:17:20-04:00";null
"js3-node1";"2018-08-02T23:17:40-04:00";null
"js3-node1";"2018-08-02T23:18:00-04:00";null
"js3-node1";"2018-08-02T23:18:20-04:00";null
"js3-node1";"2018-08-02T23:18:40-04:00";0.01
"js3-node1";"2018-08-02T23:19:00-04:00";null
"js3-node1";"2018-08-02T23:19:20-04:00";null
"js3-node1";"2018-08-02T23:19:40-04:00";null
"js3-node1";"2018-08-02T23:20:00-04:00";null
"js3-node1";"2018-08-02T23:20:20-04:00";null
"js3-node1";"2018-08-02T23:20:40-04:00";null
"js3-node1";"2018-08-02T23:21:00-04:00";null
"js3-node1";"2018-08-02T23:21:20-04:00";null
"js3-node1";"2018-08-02T23:21:40-04:00";0
"js3-node1";"2018-08-02T23:22:00-04:00";null
"js3-node1";"2018-08-02T23:22:20-04:00";null
"js3-node1";"2018-08-02T23:22:40-04:00";null
"js3-node1";"2018-08-02T23:23:00-04:00";null
"js3-node1";"2018-08-02T23:23:20-04:00";null
"js3-node1";"2018-08-02T23:23:40-04:00";null
"js3-node1";"2018-08-02T23:24:00-04:00";null
"js3-node1";"2018-08-02T23:24:20-04:00";null
"js3-node1";"2018-08-02T23:24:40-04:00";0
"js3-node1";"2018-08-02T23:25:00-04:00";null
"js3-node1";"2018-08-02T23:25:20-04:00";null
"js3-node1";"2018-08-02T23:25:40-04:00";null
"js3-node1";"2018-08-02T23:26:00-04:00";null
